Tijdslot,Zaal,Vak,Activiteit,Student
monday 11-13,C0.110,Databases 2,Lecture 1,Elske van Suijlekom
monday 11-13,C0.110,Databases 2,Lecture 1,Enrico van Triest
monday 11-13,C0.110,Databases 2,Lecture 1,Priscillia van Voorden
monday 11-13,C0.110,Databases 2,Lecture 1,Anne-Jan van Waardenburg
monday 11-13,C0.110,Databases 2,Lecture 1,Maggy van Walsum
monday 11-13,C0.110,Databases 2,Lecture 1,Vinod Velt
monday 11-13,C0.110,Databases 2,Lecture 1,Yuki Verkuijl
monday 11-13,C0.110,Databases 2,Lecture 1,Maureen Versantvoort
monday 11-13,C0.110,Databases 2,Lecture 1,Filipe Wiersema
monday 11-13,C0.110,Databases 2,Lecture 1,Marck Wijngaarden
monday 11-13,C0.110,Databases 2,Lecture 1,Alexandra Wijnsma
monday 11-13,C0.110,Databases 2,Lecture 1,Mellanie Zhang
monday 11-13,C1.112,Heuristieken 2,Lecture 1,Herman Apeldoorn
monday 11-13,C1.112,Heuristieken 2,Lecture 1,Jarik Blikman
monday 11-13,C1.112,Heuristieken 2,Lecture 1,Allan Budel
monday 11-13,C1.112,Heuristieken 2,Lecture 1,Seyit Cleven
monday 11-13,C1.112,Heuristieken 2,Lecture 1,Laurentia Cooijmans
monday 11-13,C1.112,Heuristieken 2,Lecture 1,Amelie Daams
monday 11-13,C1.112,Heuristieken 2,Lecture 1,Ziggy de Smit
monday 11-13,C1.112,Heuristieken 2,Lecture 1,Boy Dibbets
monday 11-13,C1.112,Heuristieken 2,Lecture 1,Maritte Gok
monday 11-13,C1.112,Heuristieken 2,Lecture 1,Bert Grooteman
monday 11-13,C1.112,Heuristieken 2,Lecture 1,Le Janga
monday 11-13,C1.112,Heuristieken 2,Lecture 1,Adil Klop
monday 11-13,C1.112,Heuristieken 2,Lecture 1,Danique Knibbe
monday 11-13,C1.112,Heuristieken 2,Lecture 1,Mathyn Lamme
monday 11-13,C1.112,Heuristieken 2,Lecture 1,Yi Luten
monday 11-13,C1.112,Heuristieken 2,Lecture 1,Oliver Milder
monday 11-13,C1.112,Heuristieken 2,Lecture 1,Romaisa Oostvogels
monday 11-13,C1.112,Heuristieken 2,Lecture 1,Vincentius Pater
monday 11-13,C1.112,Heuristieken 2,Lecture 1,Romy Piek
monday 11-13,C1.112,Heuristieken 2,Lecture 1,Mink Pothuizen
monday 11-13,C1.112,Heuristieken 2,Lecture 1,Jaiden Schoonderwoerd
monday 11-13,C1.112,Heuristieken 2,Lecture 1,Liza Traa
monday 11-13,C1.112,Heuristieken 2,Lecture 1,Felien Uitslag
monday 11-13,C1.112,Heuristieken 2,Lecture 1,Johannus van Bavel
monday 11-13,C1.112,Heuristieken 2,Lecture 1,Ynte van Berkom
monday 11-13,C1.112,Heuristieken 2,Lecture 1,Chelly van der Doelen
monday 11-13,C1.112,Heuristieken 2,Lecture 1,Deejay van der Geer
monday 11-13,C1.112,Heuristieken 2,Lecture 1,Josef van der Wiel
monday 11-13,C1.112,Heuristieken 2,Lecture 1,George van Dieten
monday 11-13,C1.112,Heuristieken 2,Lecture 1,Georgia van Rossem
monday 11-13,C1.112,Heuristieken 2,Lecture 1,Hazel van Wensen
monday 11-13,C1.112,Heuristieken 2,Lecture 1,Bobby Veldhuis
monday 13-15,A1.04,Advanced Heuristics,Lecture 1,Herman Apeldoorn
monday 13-15,A1.04,Advanced Heuristics,Lecture 1,Kyllian Bekkema
monday 13-15,A1.04,Advanced Heuristics,Lecture 1,Angle Berentsen
monday 13-15,A1.04,Advanced Heuristics,Lecture 1,Tian Berkers
monday 13-15,A1.04,Advanced Heuristics,Lecture 1,Vivianne Buter
monday 13-15,A1.04,Advanced Heuristics,Lecture 1,Sola Droog
monday 13-15,A1.04,Advanced Heuristics,Lecture 1,Nuriye Kooijmans
monday 13-15,A1.04,Advanced Heuristics,Lecture 1,Buck Lantinga
monday 13-15,A1.04,Advanced Heuristics,Lecture 1,Seyed Laurijssen
monday 13-15,A1.04,Advanced Heuristics,Lecture 1,Mellisa Leemburg
monday 13-15,A1.04,Advanced Heuristics,Lecture 1,Myron Middel
monday 13-15,A1.04,Advanced Heuristics,Lecture 1,Jorren Modderkolk
monday 13-15,A1.04,Advanced Heuristics,Lecture 1,Kaoutar Philips
monday 13-15,A1.04,Advanced Heuristics,Lecture 1,Rafaela Polfliet
monday 13-15,A1.04,Advanced Heuristics,Lecture 1,Shan Rokx
monday 13-15,A1.04,Advanced Heuristics,Lecture 1,Eleanora Rovers
monday 13-15,A1.04,Advanced Heuristics,Lecture 1,Servet Sijmons
monday 13-15,A1.04,Advanced Heuristics,Lecture 1,Ruveyda van Lingen
monday 13-15,A1.04,Advanced Heuristics,Lecture 1,Vigo Wijers
monday 13-15,A1.04,Advanced Heuristics,Lecture 1,Malte Zondag
monday 13-15,A1.06,Informatie- en organisatieontwerp,Lecture 1,Eylem Haas
monday 13-15,A1.06,Informatie- en organisatieontwerp,Lecture 1,Emrah Schrama
monday 13-15,A1.06,Informatie- en organisatieontwerp,Lecture 1,Ylse Klarenbeek
monday 13-15,A1.06,Informatie- en organisatieontwerp,Lecture 1,Doede Duiveman
monday 13-15,A1.06,Informatie- en organisatieontwerp,Lecture 1,Tjesse Voesten
monday 13-15,A1.06,Informatie- en organisatieontwerp,Lecture 1,Aya Woertman
monday 13-15,A1.06,Informatie- en organisatieontwerp,Lecture 1,Gidon Baetsen
monday 13-15,A1.06,Informatie- en organisatieontwerp,Lecture 1,Noa Slangen
monday 13-15,A1.06,Informatie- en organisatieontwerp,Lecture 1,Rins Oosterbeek
monday 13-15,A1.06,Informatie- en organisatieontwerp,Lecture 1,Abdel Buth
monday 13-15,A1.06,Informatie- en organisatieontwerp,Lecture 1,Agelo van der Meer
monday 13-15,A1.06,Informatie- en organisatieontwerp,Lecture 1,Yun van der Vleuten
monday 13-15,A1.06,Informatie- en organisatieontwerp,Lecture 1,Jetty van Putten
monday 13-15,A1.06,Informatie- en organisatieontwerp,Lecture 1,Thys Kersten
monday 13-15,A1.06,Informatie- en organisatieontwerp,Lecture 1,Devlin Bronsema
monday 13-15,A1.06,Informatie- en organisatieontwerp,Lecture 1,Everhard Curvers
monday 13-15,A1.06,Informatie- en organisatieontwerp,Lecture 1,Gerritjan Joris
monday 13-15,A1.06,Informatie- en organisatieontwerp,Lecture 1,Monika Blikman
monday 13-15,A1.06,Informatie- en organisatieontwerp,Lecture 1,Rika Buizer
monday 13-15,A1.06,Informatie- en organisatieontwerp,Lecture 1,Enrique van den Born
monday 13-15,A1.06,Informatie- en organisatieontwerp,Lecture 1,Oumaima Donselaar
monday 13-15,A1.08,Bioinformatica,Lab 2,Resul Kuijpers
monday 13-15,A1.08,Bioinformatica,Lab 2,Ard Tielemans
monday 13-15,A1.08,Bioinformatica,Lab 2,Yuri van Mourik
monday 13-15,A1.08,Bioinformatica,Lab 2,Bodie Metselaar
monday 13-15,A1.08,Bioinformatica,Lab 2,Mouna Lathouwers
monday 13-15,A1.08,Bioinformatica,Lab 2,Pleun ter Heide
monday 13-15,A1.08,Bioinformatica,Lab 2,Jetty van Putten
monday 13-15,A1.08,Bioinformatica,Lab 2,Jurre van de Sanden
monday 13-15,A1.08,Bioinformatica,Lab 2,Raven Elissen
monday 13-15,A1.08,Bioinformatica,Lab 2,Romaisa Oostvogels
monday 13-15,A1.08,Bioinformatica,Lab 2,Yde Christiaens
monday 13-15,A1.08,Bioinformatica,Lab 2,Demelza van Kommer
monday 13-15,A1.08,Bioinformatica,Lab 2,Jo-Anne Modderkolk
monday 13-15,A1.08,Bioinformatica,Lab 2,Corry Kroonen
monday 13-15,A1.08,Bioinformatica,Lab 2,Diemer Fokkens
monday 13-15,A1.08,Bioinformatica,Lab 2,Herwin Ester
monday 13-15,A1.08,Bioinformatica,Lab 2,Roma Rotgans
monday 13-15,A1.08,Bioinformatica,Lab 2,Ludovicus Eissens
monday 13-15,A1.08,Bioinformatica,Lab 2,Patricia Sier
monday 13-15,A1.08,Bioinformatica,Lab 2,Jos van der Zwet
monday 13-15,A1.10,Empty,,
monday 13-15,B0.201,Machine Learning,Lecture 1,Seb Okkerse
monday 13-15,B0.201,Machine Learning,Lecture 1,Evelina Wensing
monday 13-15,B0.201,Machine Learning,Lecture 1,Luca Pereira
monday 13-15,B0.201,Machine Learning,Lecture 1,Mink Pothuizen
